SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
CANCELADA,EMBRAH TRUST SA,UBERLÂNDIA,01.969.933/0001-54,Securitização de Recebíveis,PRIVADO,MG
CANCELADA,"EMP.NAC. DE COMÉRCIO, RÉDITO E PART. S.A. - ENCORPAR",BELO HORIZONTE,01.971.614/0001-83,Emp. Adm. Part. - Têxtil e Vestuário,PRIVADO,MG
ATIVO,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,SÃO PAULO,01.989.044/0001-59,Hospedagem e Turismo,PRIVADO,SP
CANCELADA,COMPANHIA DE PARTICIPAÇÕES ALPHA,SÃO PAULO,01.996.119/0001-29,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SP
CANCELADA,RIO GRANDE ENERGIA SA,CAXIAS DO SUL,02.016.439/0001-38,Energia Elétrica,PRIVADO,RS
ATIVO,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,SÃO LEOPOLDO,02.016.440/0001-62,Energia Elétrica,PRIVADO,RS
ATIVO,AXIA ENERGIA SUL S.A.,FLORIANÓPOLIS,02.016.507/0001-69,Energia Elétrica,PRIVADO,SC
CANCELADA,PARTICIP. E EMPREEND. REPUBLICA SA,SÃO PAULO,02.022.558/0001-01,Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,PETRO RIO JAGUAR PETRÓLEO S.A.,RIO DE JANEIRO,02.031.413/0001-69,Petróleo e Gás,PRIVADO,RJ
CANCELADA,CASCAIS PARTICIPACOES SA,RIO DE JANEIRO,02.036.214/0001-43,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,ARGENTUM PARTICIPACOES SA,RIO DE JANEIRO,02.036.220/0001-09,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,AMARANTE PARTICIPACOES SA,RIO DE JANEIRO,02.036.227/0001-12,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,ARDOSIA PARTICIPACOES SA,RIO DE JANEIRO,02.036.233/0001-70,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,LAEROB PARTICIPACOES SA,RIO DE JANEIRO,02.037.966/0001-29,Emp. Adm. Participações,PRIVADO,RJ
ATIVO,V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.,SÃO PAULO,02.041.460/0001-93,Telecomunicações,PRIVADO,SP
ATIVO,SUDESTE SA,RIO DE JANEIRO,02.062.747/0001-08,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,RJ
CANCELADA,OESTE PARTICIPAÇÕES SA,RIO DE JANEIRO,02.062.753/0001-57,Emp. Adm. Part. - Telecomunicações,PRIVADO HOLDING,RJ
CANCELADA,NUMERAL 80 PARTICIPAÇÕES S.A.,SÃO PAULO,02.084.220/0001-76,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,FAROL DO LAGO SA,BRASÍLIA,02.091.165/0001-41,Emp. Adm. Participações,PRIVADO,DF
CANCELADA,RIZA II SECURITIZADORA S.A.,SÃO PAULO,02.105.040/0001-23,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,TELEMAR PARTICIPAÇÕES SA,RIO DE JANEIRO,02.107.946/0001-87,Emp. Adm. Part. - Telecomunicações,PRIVADO,RJ
CANCELADA,BULHOES CARVALHO F NOTES SA,RIO DE JANEIRO,02.109.419/0001-01,Serviços Diversos,PRIVADO,RJ
ATIVO,BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO,RIO DE JANEIRO,02.117.801/0001-67,Emp. Adm. Part. - Energia Elétrica,PRIVADO,RJ
CANCELADA,GARUDA SA,SÃO PAULO,02.134.838/0001-01,Emp. Adm. Part. - Alimentos,PRIVADO,SP
ATIVO,PORTO SEGURO SA,SÃO PAULO,02.149.205/0001-69,Seguradoras e Corretoras,PRIVADO,SP
CANCELADA,CPFL JAGUARIÚNA S.A.,JAGUARIÚNA,02.150.569/0001-69,Energia Elétrica,PRIVADO,SP
CANCELADA,ECO HILLS SA,SÃO JOSÉ DOS PINHAIS,02.151.985/0001-81,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,PR
CANCELADA,UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO,RIO DE JANEIRO,02.162.616/0001-94,Emp. Adm. Part. - Energia Elétrica,PRIVADO,RJ
ATIVO,FGR INCORPORAÇÕES S.A.,APARECIDA DE GOIÂNIA,02.171.304/0001-47,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,GO
CANCELADA,MAISON ROYALE SA,CURITIBA,02.176.632/0001-36,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,PR
